skills,avg_salary
haskell,213000.0
chef,207050.0
sheets,195000.0
spreadsheet,190000.0
kotlin,184500.0
slack,183849.5
clojure,166000.0
looker,166000.0
golang,164491.67
swift,163000.0
excel,159622.33
scala,157451.03
rust,156907.25
redis,155289.86
julia,151050.0
typescript,149683.5
postgresql,149602.9
redshift,148120.0
airflow,144820.78
bigquery,143461.47
c,142344.89
unify,142233.33
qlik,140000.0
flask,139938.17
hugging face,139686.8
hadoop,139613.98
spark,138903.81
snowflake,137981.03
java,137184.08
sql,136858.78
dynamodb,134653.0
gcp,134616.85
ansible,134471.5
kubernetes,133817.42
tensorflow,133798.34
mongodb,133548.6
splunk,133514.5
pytorch,133475.18
powershell,133000.0
databricks,132197.95
kafka,132142.65
numpy,131225.98
fastapi,131222.38
go,131067.29
pandas,129912.94
aws,129831.9
python,129780.71
ruby,129566.67
docker,129328.81
django,128682.0
elasticsearch,128520.07
flow,127935.27
matplotlib,127652.86
mxnet,126545.0
scikit-learn,125569.66
tableau,125102.64
selenium,125000.0
redhat,125000.0
power bi,123882.25
jenkins,123781.26
javascript,123592.12
git,123277.75
powerpoint,122700.0
c#,122618.75
keras,122579.94
jira,121531.25
c++,121363.15
github,121089.95
pyspark,120748.09
jupyter,120491.64
azure,119892.64
php,119512.5
terraform,119477.31
neo4j,119450.0
unix,119005.8
shell,118575.56
plotly,118000.0
html,116800.0
css,116800.0
linux,114800.45
nosql,114361.03
datarobot,114350.0
react,113616.93
cassandra,113501.57
nltk,113034.45
ubuntu,112700.0
r,112634.11
atlassian,111433.33
alteryx,111116.67
angular,109333.33
mysql,107996.25
confluence,107633.33
word,106568.75
perl,106075.57
seaborn,105713.17
oracle,105681.25
sql server,101316.67
firebase,101029.0
aurora,99150.0
gitlab,98306.78
sas,97512.5
gdpr,95600.0
opencv,94624.08
bitbucket,94194.0
sap,93842.86
windows,91229.29
node.js,91037.13
unreal,90816.13
zoom,89100.0
asp.net,89100.0
outlook,89100.0
assembly,85635.83
unity,84975.0
bash,82982.71
lisp,79200.0
theano,76150.0
matlab,74394.79
vue.js,72900.0
node,72400.0
vue,70000.0
airtable,70000.0
spss,64800.0
express,64800.0
watson,64800.0
spring,61200.0
pulumi,56700.0
puppet,56700.0
groovy,56700.0
planner,30000.0
