job_id,job_title,company_name,job_country,job_location,job_schedule_type,job_via,job_posted_date,salary_year_avg
21321,Data Engineer,Engtal,United States,Anywhere,Full-time,via LinkedIn,2023-01-27 18:10:51,325000.0
157003,Data Engineer,Engtal,United States,Anywhere,Full-time,via LinkedIn,2023-02-17 18:11:49,325000.0
270455,Data Engineer,Durlston Partners,United States,Anywhere,Full-time,via LinkedIn,2023-07-17 11:10:55,300000.0
230458,Director of Engineering - Data Platform,Twitch,United States,Anywhere,Full-time,via Hitmarker,2023-01-30 11:07:32,251000.0
543728,Staff Data Engineer,Signify Technology,United States,Anywhere,Full-time,via LinkedIn,2023-03-28 13:11:42,250000.0
595768,Principal Data Engineer,Signify Technology,United States,Anywhere,Full-time,via LinkedIn,2023-02-14 15:24:07,250000.0
561728,Data Engineer,AI Startup,United States,Anywhere,Full-time,via LinkedIn,2023-03-24 23:32:42,250000.0
204320,Staff Data Engineer,Handshake,United States,Anywhere,Full-time,via EchoJobs,2023-01-08 15:05:16,245000.0
151972,Principal Data Engineer (Remote),Movable Ink,United States,Anywhere,Full-time,via Built In Chicago,2023-05-25 15:05:38,245000.0
2446,Data Engineering Manager,Meta,United States,Anywhere,Full-time,via ZipRecruiter,2023-12-12 15:56:17,242000.0
609418,Data Engineering Manager,Meta,United States,Anywhere,Full-time,via ZipRecruiter,2023-12-08 14:04:41,242000.0
456144,Data Engineering Manager - Event Streaming and Real-Time Analytics,LTK,France,Anywhere,Full-time,via AngelList,2023-01-09 18:22:32,235000.0
14251,Staff Data Engineer,Hinge,United States,Anywhere,Full-time,via LinkedIn,2023-12-19 13:11:19,234500.0
11602,"Data Engineer, Analytics (Generalist)",Meta,United States,Anywhere,Full-time,via LinkedIn,2023-09-09 10:33:46,233000.0
173752,Data Engineering Leader,Henry Schein One,United States,Anywhere,Full-time,via LinkedIn,2023-09-20 23:06:47,227630.0
202624,Rust Data Engineer,Understanding Recruitment,United States,Anywhere,Full-time,via LinkedIn,2023-09-05 09:02:44,225000.0
1375618,"Director, Data Engineering (Remote)",Brightcove,United States,Anywhere,Full-time,via Built In,2023-08-16 07:23:29,221500.0
67320,Staff Data Engineer,Harnham,United States,Anywhere,Full-time,via LinkedIn,2023-02-10 20:24:11,220000.0
503833,Principal AI Data Engineer (Remote),Grindr,Sudan,Anywhere,Full-time,via Built In,2023-11-06 19:13:01,220000.0
448016,Principal Data Engineer,Storm3,United States,Anywhere,Full-time,via LinkedIn,2023-11-14 09:05:50,215000.0
536902,"Senior / Staff, Data Engineer",Shiftsmart,United States,Anywhere,Full-time,via LinkedIn,2023-02-15 16:15:40,215000.0
373301,Data Engineer,Booz Allen,United States,Anywhere,Full-time,via Recruit.net,2023-01-23 00:07:19,214000.0
5394,Staff Data Engineer,Swing Education,United States,Anywhere,Full-time,via Indeed,2023-10-19 21:30:58,211733.0
457199,Staff Data Engineer - #16933 - Remote,"Fanatics, Inc.",Sudan,Anywhere,Full-time,via Jobgether,2023-09-24 18:09:21,210000.0
2812,Staff Data Engineer,Harnham,United States,Anywhere,Full-time,via LinkedIn,2023-03-24 15:14:46,210000.0
171334,North America Principal Data Engineer (Remote Option*),Nike,United States,Anywhere,Full-time,via Indeed,2023-03-09 20:07:35,208000.0
98048,"Data Engineer, Analytics",Meta,United States,Anywhere,Full-time,via ZipRecruiter,2023-11-15 07:06:27,207230.21875
13226,Principal Data Engineer (Remote U.S. OK),Zscaler,United States,Anywhere,Full-time,via Built In San Francisco,2023-02-03 06:31:28,206000.0
36250,Fully Remote - Golang Data Engineer,Durlston Partners,United States,Anywhere,Full-time,via LinkedIn,2023-09-20 16:05:49,205000.0
446765,Data Engineering Manager,Alldus,United States,Anywhere,Full-time,via LinkedIn,2023-01-09 20:42:22,205000.0
50069,Lead Data Engineer,Abridge,United States,Anywhere,Full-time,via Wellfound,2023-12-14 15:04:43,205000.0
384754,Staff Data Engineer,Harnham,United States,Anywhere,Full-time,via LinkedIn,2023-02-24 21:09:37,205000.0
122775,Lead Data Engineer (Remote-Eligible),Capital One,Sudan,Anywhere,Full-time,via Built In,2023-03-02 06:36:44,203000.0
221584,Lead Data Engineer - Capital One Software (Remote Eligible),Capital One,United States,Anywhere,Full-time,via Built In Chicago,2023-07-01 03:57:26,203000.0
1848,"Manager, Data Engineering (Remote-Eligible)",Capital One,United States,Anywhere,Full-time,via Built In San Francisco,2023-02-04 07:11:35,203000.0
103396,Lead Data Engineer,Wizard,United States,Anywhere,Full-time,via LinkedIn,2023-06-27 21:28:44,200500.0
126068,Lead Data Engineer (Remote-Eligible),Capital One,United States,Anywhere,Full-time,via Built In Boston,2023-01-26 23:08:21,200256.0
419618,Principal Data Engineer- $225k (Remote),Averity,Sudan,Anywhere,Full-time,via LinkedIn,2023-03-13 19:58:19,200000.0
638394,Data Engineer,Vibrant Planet,Sudan,Anywhere,Full-time,via LinkedIn,2023-04-11 14:51:40,200000.0
266977,Principal Data Engineer (Remote),Murmuration,United States,Anywhere,Full-time,via Built In NYC,2023-03-13 15:15:12,200000.0
130206,Principal Data Engineer,murmuration,United States,Anywhere,Full-time,via LinkedIn,2023-03-10 22:14:20,200000.0
488214,Principal Data Engineer (100% Remote),Averity,United States,Anywhere,Full-time,via LinkedIn,2023-03-20 02:52:15,200000.0
40495,"Data Engineering Manager, Analytics",Meta,Sudan,Anywhere,Full-time,via Indeed,2023-10-07 06:14:50,198500.0
94315,"Data Engineer, Product Analytics",Meta,United States,Anywhere,Full-time,via LinkedIn,2023-12-21 23:06:16,198500.0
165851,"Data Engineering Manager, Analytics",Meta,United States,Anywhere,Full-time,via LinkedIn,2023-09-12 11:09:18,198500.0
